reportDate,reportPeriod,Teams Enabled Users,Teams Active Users,Word Enabled Users,Word Active Users,PowerPoint Enabled Users,PowerPoint Active Users,Outlook Enabled Users,Outlook Active Users,Excel Enabled Users,Excel Active Users,OneNote Enabled Users,OneNote Active Users,Loop Enabled Users,Loop Active Users,All Enabled Users,All Active Users,Edge Enabled Users,Edge Active Users,Microsoft 365 Copilot (app) Enabled Users,Microsoft 365 Copilot (app) Active Users,Copilot Chat Enabled Users,Copilot Chat Active Users
2026-06-02,180,621,201,621,31,621,22,621,140,621,41,621,1,621,62,621,429,,,,,621,296
2026-06-01,180,601,205,601,21,601,19,601,136,601,43,601,2,601,79,601,431,,,,,601,298
2026-05-31,180,602,2,602,0,602,2,602,5,602,4,602,0,602,1,602,48,,,,,602,27
2026-05-30,180,602,6,602,6,602,3,602,11,602,1,602,0,602,2,602,55,,,,,602,37
2026-05-29,180,603,169,603,15,603,21,603,108,603,37,603,0,603,55,603,356,,,,,603,233
2026-05-28,180,603,167,603,17,603,22,603,118,603,40,603,1,603,89,603,388,,,,,603,274
2026-05-27,180,580,171,580,16,580,23,580,123,580,53,580,2,580,123,580,401,,,,,580,269
2026-05-26,180,574,153,574,24,574,22,574,126,574,42,574,0,574,72,574,389,,,,,574,273
2026-05-25,180,575,86,575,13,575,12,575,74,575,22,575,1,575,22,575,250,,,,,575,177
2026-05-24,180,575,5,575,2,575,2,575,4,575,2,575,0,575,0,575,50,,,,,575,34
2026-05-23,180,575,2,575,2,575,0,575,5,575,3,575,0,575,0,575,38,,,,,575,27
2026-05-22,180,575,75,575,9,575,17,575,105,575,34,575,0,575,25,575,323,,,,,575,242
2026-05-21,180,575,126,575,25,575,14,575,126,575,49,575,2,575,102,575,387,,,,,575,276
2026-05-20,180,576,122,576,19,576,23,576,123,576,35,576,1,576,88,576,390,,,,,576,291
2026-05-19,180,575,120,575,17,575,29,575,131,575,42,575,0,575,69,575,387,,,,,575,279
2026-05-18,180,575,115,575,16,575,20,575,111,575,33,575,1,575,57,575,353,,,,,575,258
2026-05-17,180,573,3,573,1,573,1,573,9,573,3,573,0,573,2,573,56,,,,,573,34
2026-05-16,180,573,4,573,4,573,2,573,6,573,4,573,1,573,0,573,52,,,,,573,36
2026-05-15,180,573,134,573,14,573,11,573,98,573,33,573,0,573,43,573,319,,,,,573,230
2026-05-14,180,573,168,573,22,573,27,573,119,573,48,573,4,573,79,573,408,,,,,573,280
2026-05-13,180,569,210,569,12,569,29,569,116,569,40,569,1,569,73,569,402,,,,,569,255
2026-05-12,180,544,177,544,16,544,17,544,119,544,36,544,0,544,47,544,376,,,,,544,269
2026-05-11,180,544,166,544,21,544,22,544,102,544,30,544,0,544,51,544,371,,,,,544,246
2026-05-10,180,545,6,545,2,545,2,545,5,545,1,545,0,545,2,545,50,,,,,545,30
2026-05-09,180,546,7,546,3,546,0,546,7,546,6,546,0,546,1,546,50,,,,,546,28
2026-05-08,180,546,129,546,12,546,15,546,89,546,29,546,0,546,25,546,315,,,,,546,233
2026-05-07,180,547,178,547,14,547,18,547,109,547,38,547,1,547,77,547,363,,,,,547,243
2026-05-06,180,518,173,518,25,518,20,518,93,518,29,518,1,518,54,518,369,,,,,518,255
2026-05-05,180,549,155,549,13,549,16,549,114,549,41,549,0,549,42,549,366,,,,,549,254
2026-05-04,180,530,132,530,21,530,13,530,98,530,43,530,1,530,49,530,354,,,,,530,250
2026-05-03,180,531,4,531,1,531,4,531,9,531,6,531,0,531,1,531,50,,,,,531,25
2026-05-02,180,531,3,531,1,531,3,531,8,531,4,531,0,531,1,531,58,,,,,531,39
2026-05-01,180,532,41,532,7,532,21,532,47,532,26,532,1,532,22,532,189,,,,,532,125
2026-04-30,180,524,168,524,17,524,62,524,95,524,42,524,2,524,65,524,362,,,,,524,255
2026-04-29,180,525,189,525,20,525,16,525,102,525,40,525,3,525,58,525,376,,,,,525,269
2026-04-28,180,525,145,525,16,525,15,525,100,525,39,525,3,525,50,525,355,,,,,525,256
2026-04-27,180,525,154,525,15,525,19,525,88,525,35,525,0,525,53,525,359,,,,,525,250
2026-04-26,180,525,2,525,1,525,1,525,6,525,1,525,0,525,0,525,51,,,,,525,39
2026-04-25,180,525,9,525,0,525,2,525,10,525,2,525,0,525,1,525,54,,,,,525,32
2026-04-24,180,524,131,524,14,524,18,524,77,524,32,524,1,524,25,524,316,,,,,524,226
2026-04-23,180,515,164,515,15,515,20,515,89,515,35,515,2,515,56,515,354,,,,,515,251
2026-04-22,180,513,162,513,12,513,24,513,100,513,34,513,0,513,56,513,354,,,,,513,245
2026-04-21,180,502,75,502,12,502,13,502,58,502,30,502,2,502,23,502,236,,,,,502,175
2026-04-20,180,503,78,503,10,503,14,503,58,503,30,503,1,503,31,503,231,,,,,503,159
2026-04-19,180,503,2,503,0,503,3,503,6,503,2,503,0,503,1,503,40,,,,,503,29
2026-04-18,180,503,4,503,1,503,0,503,5,503,2,503,0,503,0,503,49,,,,,503,36
2026-04-17,180,503,120,503,6,503,18,503,67,503,28,503,0,503,24,503,280,,,,,503,192
2026-04-16,180,503,153,503,15,503,19,503,91,503,33,503,1,503,42,503,331,,,,,503,249
2026-04-15,180,503,153,503,11,503,21,503,79,503,31,503,0,503,64,503,345,,,,,503,244
2026-04-14,180,503,157,503,20,503,12,503,89,503,28,503,2,503,46,503,357,,,,,503,248
