Agent ID,Agent name,Creator type,Active users (licensed),Active users (unlicensed),Responses sent to users,Last activity date (UTC)
T_b13b6ce2-18e1-4f72-3803-83a5e8090354,INGENIERO QUIMICO SEÑIOR ,User-created agent,0,1,27,"Jun 5, 2026"
P_8cfc4e6f-267e-db15-c6e7-3fc47a54f61e,Analyst,Agent built by Microsoft,42,0,236,"Jun 5, 2026"
T_047eaae6-f1a6-b730-be01-618f592e7c5a,Salesforce Error Handler,User-created agent,1,0,3,"Jun 5, 2026"
T_f44a411d-381d-b00c-9647-6cc98cbc8d83,Report,User-created agent,0,1,21,"Jun 5, 2026"
T_87f8cfad-f0d5-91e3-81ca-42c70e5de7da,Contoso EHS Terms Translator,User-created agent,1,0,18,"Jun 4, 2026"
T_78b57206-7559-ae52-24e6-d3fc50e75d65,Email Assistant - RL,User-created agent,1,0,18,"Jun 4, 2026"
T_9bece502-7dcc-c780-9fb0-4a113543dbef,Change Management Agent,User-created agent,0,1,32,"Jun 4, 2026"
P_307475bf-b2cf-94d8-95c4-9bc732fdbc72,Adobe Express,Agent built by Microsoft partner,1,0,4,"Jun 3, 2026"
T_3775565a-2bd4-5396-dc2f-655e19c178de,Especialista em Power BI,User-created agent,0,1,2,"Jun 3, 2026"
T_e2764f11-74ad-f64e-84ed-82a5aa66457b,Dragline SOP Writer,User-created agent,1,0,6,"Jun 3, 2026"
P_b2f25cb5-1ccd-b7ed-8a74-35d2b43e0130,Planner (Frontier),Agent built by Microsoft,11,0,41,"Jun 2, 2026"
T_f9127aa4-38cc-a04b-5690-d22f301d627e,Analise de Informações (email),User-created agent,0,1,4,"Jun 2, 2026"
T_3c215850-6ea8-217a-606f-03c9ce3a477c,Meeting Summarization,User-created agent,0,1,7,"Jun 2, 2026"
T_35473c23-971f-c1ee-7b44-494e973a960c,Consultor PCM Profissional,User-created agent,0,1,5,"Jun 2, 2026"
T_cc5d4df0-7144-5d53-14a3-8c4f152b1778,Clean Core Advisor,User-created agent,1,1,53,"Jun 1, 2026"
T_9d4105cb-07de-d83c-79eb-1fb1cb513e28,Maximo Agent,User-created agent,0,1,20,"Jun 1, 2026"
T_ccf1269e-3f14-5460-7d3d-37e664d90c08,SAP S/4HANA Finance Expert,User-created agent,1,0,19,"Jun 1, 2026"
T_8ceb3060-ffca-d224-c955-9e6164f7584c,Aferição de Balanças,User-created agent,0,1,3,"Jun 1, 2026"
T_e6c89564-8af2-813b-affb-7e1f2610a19a,Intelex App Admin Support,User-created agent,1,0,9,"May 29, 2026"
P_720226f2-da2b-b5c6-c0b9-4ff3405ad25e,Frontline Agent (Preview),Agent built by Microsoft,1,1,4,"May 29, 2026"
T_ee2397a9-d03d-b68d-e23a-55ee30d3ab58,Weekly Commercial Report,User-created agent,1,0,5,"May 28, 2026"
P_e3d64609-7a28-6de6-3093-402c20bb96ce,Writing Coach,Agent built by Microsoft,4,0,34,"May 27, 2026"
T_e558e451-e89f-85be-7107-d4a50891dbb6,State Payroll Data Extractor,User-created agent,1,0,9,"May 27, 2026"
T_22244740-5beb-36a0-79d9-2d339f5fde96,Analista de Cases,User-created agent,2,0,75,"May 27, 2026"
T_e0fd2a07-d1f4-b4ed-c91b-1735751792da,Prioridade Diária de Atividade,User-created agent,1,0,2,"May 27, 2026"
T_bf812dd4-0bfa-6a4d-2919-f0a6208fefb3,Relatório NR-13 Caldeiras,User-created agent,0,1,8,"May 27, 2026"
T_c6fc905f-5686-126e-f02c-0d5ba214fc14,Truck Safety Agent,User-created agent,1,0,18,"May 26, 2026"
P_dc7ff5c3-a585-8075-d148-1199548a7529,Canva,Agent built by Microsoft partner,2,2,18,"May 26, 2026"
T_8db601d4-fae4-ed14-24f2-0e698a0dc883,PROCUREMENT IA,User-created agent,0,1,3,"May 25, 2026"
T_d5847a1a-b9c9-ad43-0408-184991b3be43,Especialista em Dados,User-created agent,0,1,126,"May 25, 2026"
T_36f11e55-69fc-1116-6b43-2712641cd4f7,CyberSecurity Policies,User-created agent,3,0,7,"May 21, 2026"
T_8fc7d33e-491a-b91f-85f6-1b2bf4f59d43,Copilot Studio Agent Guide,User-created agent,1,0,3,"May 21, 2026"
T_9f07cddd-954b-29f8-c148-d2017392c7a7,Especialista em Slides,User-created agent,0,1,1,"May 21, 2026"
T_0a6e7332-8395-19af-7ce7-192e34d89c73,Writing Coach,User-created agent,0,1,7,"May 20, 2026"
T_42a2aba9-41ff-e2c4-a255-ae049ae4a8a3,Skill Bridge,User-created agent,0,1,3,"May 19, 2026"
T_8f82fc87-7919-ac33-91dd-e5febf29196f,Knowledge Manager,User-created agent,1,0,1,"May 19, 2026"
T_bb5c36be-9c97-6dca-9f52-44c6e5f11e74,Text Translator,User-created agent,0,1,1,"May 19, 2026"
T_86ffffad-15d2-552d-446a-f5b1f3ef8fe9,Email to Executive leaders ,User-created agent,0,1,8,"May 19, 2026"
T_47312a8c-edff-89d8-c6d1-9a1ae6702e6d,Supply Chain Optimizer,User-created agent,1,0,6,"May 19, 2026"
T_31ec971a-42dd-3ff8-d803-36977c7ef0bd,Parecer de Entrevistas,User-created agent,0,1,14,"May 18, 2026"
T_f9785d83-132a-4e02-affd-07439014d438,K-1 PDF Extractor,User-created agent,1,0,1,"May 18, 2026"
T_47ac970d-b0d0-5e1d-3175-372a237842db,Ideias análise de dados,User-created agent,0,1,3,"May 18, 2026"
SPO_NDEzYjRmNGItYjZhMC00NzU0LWFjOGUtZDdlNDQ5NGMzMjA5LGJlZDE5NGRmLWU4M2ItNDY0OC04NzJlLTQxMzYxOWMyMDRiMCw2MWM5OTZkZC0zYTQ3LTQxZmMtYThlYi01ODQzNDU5N2JmYmU_01PHLBJHZIM5R5JYISVNC3NTAIVDTW2YZZ,Customer Chat,User-created agent,1,0,3,"May 18, 2026"
T_6c9ed77e-bd66-99e3-9b87-47cc66357e6e,Novo Agente,User-created agent,0,1,10,"May 17, 2026"
T_b8072da6-cc98-6426-1247-51460aebac26,Concur Consultant,User-created agent,1,0,1,"May 17, 2026"
T_51c1022f-a86f-d0e3-5c98-234b6fb4257d,Redator da Execution,User-created agent,1,0,1,"May 15, 2026"
T_fc02b560-c859-5be5-a87f-480892d0e5fd,Writing Coach,User-created agent,1,0,11,"May 14, 2026"
T_e0090b7e-5165-38bf-8840-d817817d509d,Child Agent de Comunicação,User-created agent,1,0,5,"May 12, 2026"
T_9ba9dc3b-6fa7-88ee-e5b4-22ca5dcd53a5,Plant Wide SIC Audit,User-created agent,1,0,2,"May 12, 2026"
T_3767f372-a5b7-f0a4-1159-392666023d83,Cop Formaliza,User-created agent,0,1,1,"May 12, 2026"
